STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ems.tata	08	A02	4	1.00027215634871	0.0349299096414654	1.09087777757346	0.130875035090682	1.08657114303646	0.0951882578277197	1.00102421988334	0.0349692978288105	1.09035146443199	0.130811892131615	1.08726918830519	0.0952494095649487	0.62767217843713	0.622296601441813	0.35782599753188	0.355507425742574	0.291129487903847	0.278940601697094
ems.tata	10	A02	4	1.0142103801653	0.0313756071718568	0.99690333650732	0.0891916087649523	0.973833898038896	0.0688631965787628	1.01497816092842	0.0314109874034722	0.99642236298529	0.0891485767069451	0.974459517584761	0.0689074363221691	0.317359715566548	0.325452302631579	0.615226231533433	0.613427234873798	0.472566462693475	0.478287713521301
sham.wt	11	A02	4	1.00998908249873	0.0175832498427256	0.968547407153816	0.0861448046804958	0.958711952405797	0.100225012411755	1.00998908249873	0.0175832498427256	0.968547407153816	0.0861448046804958	0.958711952405797	0.100225012411755	1	1	1	1	1	1
ems.m76	12	A02	4	1.00378673848037	0.0140817467152455	0.993539758572872	0.034997208281433	0.986796549741184	0.0453254852315817	1.00434365553251	0.0140934438217249	0.990813890221091	0.0349011901989849	0.982117284099806	0.0451105574576912	0.387261212090006	0.389660493827161	0.478610038610039	0.473218420375611	0.474315421041795	0.475646174441355
ems.m76	14	A02	4	1.01195694303585	0.0161744055394773	1.04414644662188	0.0823523394575574	1.02341484475405	0.0651243720771802	1.0125206467285	0.0161878409284002	1.04128173413411	0.082126398186573	1.0185619397442	0.0648155604616957	0.267544085137011	0.26963054440671	0.491532403356154	0.49374581767643	0.539583868481891	0.534640185710601
sham.wt	15	A02	4	0.99217828582103	0.0166682541663255	0.971197288531157	0.0892090756910108	0.977693758815049	0.0936779171425258	0.99217828582103	0.0166682541663255	0.971197288531157	0.0892090756910108	0.977693758815049	0.0936779171425258	1	1	1	1	1	1
ems.tata	16	A02	3	1.02258216792117	0.126592883338482	1.02030853761749	0.0810192783938071	0.99574929365003	0.144164315677502	1.02335938900487	0.126735633899731	1.01981627184515	0.0809801892201092	0.996388992290776	0.144256931075143	0.585442386831276	0.580344258915688	0.605495128614877	0.603410086024829	0.727394576760491	0.716134332956763
sham.wt	01	A03	4	0.987278287835507	0.014123788880729	1.02035116764832	0.0712993492018001	1.03223286136537	0.0761520557814731	0.987278287835507	0.014123788880729	1.02035116764832	0.0712993492018001	1.03223286136537	0.0761520557814731	1	1	1	1	1	1
sham.wt	02	A03	4	0.972589645036263	0.0289005942507551	0.967053396374692	0.0665648435693128	0.992305281098296	0.0505881304693962	0.972589645036263	0.0289005942507551	0.967053396374692	0.0665648435693128	0.992305281098296	0.0505881304693962	1	1	1	1	1	1
ems.m76	03	A03	4	0.99646187384862	0.0102566632198505	1.01502824772858	0.0457707533230894	1.01878985200798	0.0416391019721589	0.997012706448081	0.0102651829925932	1.01224342371648	0.0456451770219422	1.01395887813446	0.0414416545659569	0.395908296494294	0.401571971642864	0.513727914284242	0.511042471042471	0.4856248074751	0.492172211350294
