PLATE	POSITION	MASTER	TYPE	CLASS	STRAIN	YFP.MEDIAN.FINAL.MEAN	YFP.SD.FINAL.MEAN	YFP.MEDIAN.CORRECT.MEAN	YFP.SD.CORRECT.MEAN	YFP.MEDIAN.RELATIVE.MEAN	FSC.MEDIAN.RELATIVE.MEAN	YFP.SD.SCALED.MEAN	YFP.CV.MEAN	YFP.CV.RELATIVE.MEAN	YFP.SD.RELATIVE.MEAN	YFP.MEDIAN.FINAL.SD	YFP.SD.FINAL.SD	YFP.MEDIAN.CORRECT.SD	YFP.SD.CORRECT.SD	YFP.MEDIAN.RELATIVE.SD	FSC.MEDIAN.RELATIVE.SD	YFP.SD.SCALED.SD	YFP.CV.SD	YFP.CV.RELATIVE.SD	YFP.SD.RELATIVE.SD	N	P.VAL.MEDIAN	P.VAL.NOISE
15	E05	4	C	EMS	2P15E05	1.02954695295711	0.0655069807262136	1.01289369530193	0.0606748359623655	1.02161057690015	0.998946107337144	0.125259442859122	0.122616788100313	1.03529141210216	1.05973331630633	0.0120039817217385	0.00625561553128792	0.00113710287456168	0.00212369024684114	0.00234747849387599	5.45449561124952e-05	0.00438422705072775	0.00457890909538679	0.0386611436875362	0.0370919059342542	3	0.0227060685794555	0.319126600881797
15	E07	4	C	SHAM	2P15E07	1.01840129826358	0.0622809570375295	1.00153389180719	0.0562793312014019	0.998158965796955	0.998792723418811	0.116185195377276	0.1164058437496	0.982850490700128	0.982962398622012	0.00824552081423764	0.00561877682122264	0.00149160541462256	0.00214567668198427	0.00307932704288082	0.000652285533829026	0.00442961668504327	0.00463628395249832	0.0391455773263425	0.0374759161661472	4	0.461671790850752	0.434387270097128
15	E09	4	C	EMS	2P15E09	0.962515106222633	0.0673222656534876	0.949726195711538	0.0625763015806213	0.891205184285605	0.983531369320948	0.129184900920619	0.144932563696601	1.22371039768458	1.09294389584092	0.00673722908060885	0.00864185028998455	0.00133539181349988	0.00574817828327711	0.00275683373353296	0.00960995253997603	0.0118667582334263	0.0129545439970753	0.109379215975706	0.100396415387685	3	1.04718621065198e-05	0.0163522012578616
15	E10	4	C	EMS	2P15E10	1.01636022196803	0.0639247856419856	0.999565432205928	0.0578769867119116	0.994095202804705	1.0000456757168	0.119483456278243	0.120204539654003	1.0149240534475	1.01086669775382	0.00776282471578573	0.00847457313874326	0.0018300804988076	0.0019655890177391	0.00377808790138583	0.00154335976772817	0.00405783685026726	0.00448437554747173	0.0378629677458216	0.0343305447015294	4	0.266814920056419	0.38344856052007
15	E11	4	C	EMS	2P15E11	1.01867952241043	0.062460976371371	1.00180192313627	0.0564540964602923	0.998712299883771	1.0001265537892	0.116545987435672	0.116678867100437	0.985155711174453	0.9860148101274	0.00865507072770683	0.00627564368188051	0.00263867595703124	0.00302191030496861	0.00544738316999334	0.000939954511652517	0.00623854675775953	0.00578866672913883	0.0488755010227152	0.0527800195628218	4	0.516620398559325	0.482104177411037
15	E12	4	C	EMS	2P15E12	0.972637341530933	0.087346476565339	0.957325458056629	0.0809423947892567	0.906893390976047	0.991426288427167	0.167100563424253	0.184301279762114	1.55611262644602	1.41372203318357	0.00658041615134244	0.00637376824918189	0.0084119614331131	0.00560170226267036	0.0173659736487417	0.00226826291785467	0.0115643675562632	0.013071335588323	0.110365323451672	0.0978380974851322	4	1.0318426646305e-05	0.000102658864592958
15	F02	4	C	SHAM	2P15F02	0.945275452538174	0.0514141635142974	0.92947738916417	0.0455278052039055	0.849402776640717	0.987619434968231	0.0939893355126178	0.110563457305201	0.933521417530149	0.795178614455743	0.00399141564054132	0.00356099666192565	0.00755734693369654	0.00372465792778284	0.0156016749183316	0.00189391195849341	0.00768932572251656	0.00712998448954999	0.0602006611395967	0.0650540547050552	4	1.03048164712186e-05	0.200558543649152
15	F03	4	C	EMS	2P15F03	1.01933403701939	0.0651386087882526	1.00078072183212	0.05794950578486	0.996604093007288	0.995868673328829	0.11963316741516	0.120041700266021	1.01354915020185	1.01213329990366	0.0114661246276635	0.00801761893047442	0.00289485456557808	0.0017773954095907	0.00597624804898371	0.00116143679537196	0.00366932279608937	0.00364595503183935	0.0307839243863238	0.0310435966066972	4	0.451312481971402	0.357386187674203
15	F04	4	C	EMS	2P15F04	1.02873603096654	0.0631242492436382	1.01089314546379	0.0571319031975804	1.01748056560037	1.00033971851101	0.117945277486189	0.115897133054547	0.978555289186599	0.99785323325831	0.00617955899867462	0.00801579454119461	0.00451282342603362	0.0029085429013492	0.0093164446034463	0.000183992395254539	0.00600450677082723	0.00514074546415427	0.0434049016720936	0.0507999694696803	3	0.0632076658559087	0.475138699884853
15	F05	4	C	EMS	2P15F05	1.01753101748597	0.0633519664054852	0.99905178551776	0.0562753350347595	0.993034811013515	0.999040877430118	0.116176945538619	0.11699574444742	0.987831204482539	0.982892602455919	0.0106286253253548	0.00598678489176382	0.00209123005270177	0.00262165258856799	0.00431721498932693	0.000797840586340322	0.00541223947960712	0.00555182480914041	0.0468757715435875	0.0457892064777807	4	0.227907264679481	0.465099494793278
15	F07	4	C	EMS	2P15F07	0.972458704531925	0.0727333188771864	0.95587039951654	0.065981406823605	0.903889512693263	0.98999946740251	0.1362145299068	0.150512250002534	1.2708214124506	1.15241671376098	0.0133005045930585	0.00408491168534252	0.0207490172065292	0.00815889037054312	0.042835061585931	0.00295420631761767	0.0168435241060525	0.0145343056427018	0.122717631458809	0.142501381546683	4	0.00593643072102898	0.0128033040784719
15	F08	4	C	EMS	2P15F08	0.990624870292286	0.0638162333454604	0.973183548742399	0.0571983242438521	0.939631437525379	1.00264271464493	0.118082399624521	0.124817103322345	1.0538693530887	0.999013328617806	0.0255780686765241	0.0106929415530564	0.024613457399067	0.0146647630712359	0.0508129591410215	0.00647320936729574	0.0302744955602911	0.0271389069326273	0.229142173078313	0.256131520684568	4	0.038041516710837	0.6654620547238
15	F09	4	C	EMS	2P15F09	1.027457713191	0.0741729327230625	1.00864353616331	0.066591803836585	1.01283638645825	1.00187912926915	0.137474656754381	0.135754113786038	1.14621391032722	1.16307777349965	0.00960487668627087	0.0110583580882651	0.00260058699687851	0.00419608905396131	0.00536875086959819	0.000543034779809317	0.00866256609927159	0.00899296235389954	0.0759303586286519	0.0732879668834912	4	0.0773856182185734	0.0542851256695509
15	F10	4	C	EMS	2P15F10	1.02247012221872	0.0711322836378485	1.00379226925545	0.0636510983802222	1.0028212462374	1.00311323395137	0.131403752379703	0.130988077512537	1.10597279408067	1.11171605993055	0.0138906411085102	0.0103315825000182	0.00698088520287205	0.00325689552282247	0.0144116053600477	0.000983775231522783	0.00672365919360956	0.00506408462025188	0.042757630490339	0.0568842196030774	4	0.60413013430157	0.0861766828162045
15	F12	4	C	EMS	2P15F12	1.02771853492933	0.0616463607508393	1.00944103806124	0.0558869493356533	1.01448277975835	0.994417393137035	0.115375147305252	0.113629544315558	0.959409337118971	0.976109143409156	0.0206907125061484	0.00777247895559956	0.0142109855798452	0.00460789536989944	0.0293377000197337	0.000156107589244752	0.00951271474627039	0.00673691638432968	0.0568818657282136	0.0804804852635277	3	0.430092412910535	0.407064760302775
15	G01	4	C	EMS	2P15G01	1.03592701351077	0.0733403088265999	1.01576972626346	0.063873287306071	1.02754796478383	0.997190736228929	0.131862447662844	0.128332999742958	1.08355515245187	1.11559676275408	0.00994592786328415	0.0055900153353741	0.00103226415920327	0.0024536912113429	0.00213104545590275	0.00109817101376729	0.00506549361372436	0.0051232368957044	0.0432570714211534	0.0428556300704457	4	0.00196017744764263	0.152428290359325
