"strain","median.mean","median.sd","sd.mean","sd.sd","genotype","expids","treatment"
"EMS",1.00792780239138,0.0125844351657123,0.908733468581066,0.0466513076383374,"wt.1","0","ems"
"EMS",1.00549704735396,0.00530388993370586,1.00151058904686,0.02066119522147,"wt.1","0","ems"
"EMS",1.00559338747029,0.00745580425645431,1.01673996717423,0.0404458111422916,"wt.1","0","ems"
"SHAM",0.992689933383441,0.000562438703363083,1.0468200358061,0.0106127243642485,"wt.1","0","sham"
"EMS",0.995178843260262,0.00861466915412317,0.988012678936005,0.017256440915465,"wt.1","0","ems"
"EMS",1.00965350888006,0.00398598231285416,0.930680688387352,0.0358606751862288,"wt.1","0","ems"
"EMS",1.02761302016654,0.0464868077872476,1.1141832109738,0.170090710062592,"wt.1","0","ems"
"EMS",0.99610239229187,0.0282810154869955,0.975131051603643,0.0708116575901728,"wt.1","0","ems"
"EMS",0.965947609055374,0.0110998679426525,0.967667157666551,0.0118194235501249,"wt.1","0","ems"
"EMS",0.988758363778513,0.0115362272057726,1.03959822437118,0.0348673607303383,"wt.1","0","ems"
"EMS",1.03909626919818,0.00349377139576961,1.02908820518505,0.0294641937989807,"wt.1","0","ems"
"EMS",1.00414994068319,0.000947301923124421,0.984767381425251,0.0152532694313841,"wt.1","0","ems"
"EMS",0.974407836540441,0.0137134795347091,0.967132393965041,0.03366402501831,"wt.1","0","ems"
"EMS",0.999335899069504,0.00234240691848337,0.935275428127722,0.0405127012596126,"wt.1","0","ems"
"EMS",1.47863800013788,0.0639297080287465,1.04298617424463,0.0837143750715948,"wt.1","0","ems"
"EMS",1.07778789993468,0.0178584998824199,1.03100438317191,0.140625653843674,"wt.1","0","ems"
"SHAM",1.00813713842678,0.00370374794683287,1.07706248245994,0.0181279968702141,"wt.1","0","sham"
"EMS",1.00356786263964,0.00287749009510096,1.04267514439367,0.017901049642141,"wt.1","0","ems"
"EMS",1.00301456373323,0.00234519281671721,1.02174218186719,0.0301140832334417,"wt.1","0","ems"
"EMS",1.00494233393635,0.00714651133508317,1.00612953815691,0.036649453046217,"wt.1","0","ems"
"EMS",1.00284038970342,0.00314753117086718,0.989592950567317,0.0638975259233721,"wt.1","0","ems"
"EMS",0.9522896672766,0.00461162733624726,0.919839288221185,0.0449101440021485,"wt.1","0","ems"
"EMS",0.996030552694783,0.0053946986014214,0.977694925360741,0.0406808277495898,"wt.1","0","ems"
"EMS",1.0069811328265,0.00332004280020826,0.980982137797884,0.0634733958454117,"wt.1","0","ems"
"EMS",1.00074681596364,0.00183541816069732,0.979896524766006,0.0184040573762186,"wt.1","0","ems"
"EMS",1.01326666027024,0.00871322967588792,1.09593600850504,0.0107181565373722,"wt.1","0","ems"
"EMS",1.04920689034463,0.00521314022970832,1.0701130658221,0.0139254608516119,"wt.1","0","ems"
"EMS",0.990702979055613,0.00643788493420173,1.03181432021233,0.045490775357562,"wt.1","0","ems"
"EMS",1.00900255968832,0.00437987838778453,1.05155560354561,0.0376387768805412,"wt.1","0","ems"
"EMS",1.01629558158185,0.0263941032070827,1.11593441264924,0.0532058077197637,"wt.1","0","ems"
"EMS",1.00929676024627,0.00722003234283291,1.03220222859089,0.0754395332735601,"wt.1","0","ems"
"EMS",1.00472771066915,0.0018264310641655,1.0307126194194,0.070533855146904,"wt.1","0","ems"
"EMS",1.02477197181727,0.0064305764195903,0.979510252298223,0.0309808756805717,"wt.1","0","ems"
"EMS",1.02221646460765,0.00409791548498519,1.03689146564974,0.0494111443380592,"wt.1","0","ems"
"EMS",1.03744909636136,0.00285089178376427,1.14195773240507,0.0214736035809603,"wt.1","0","ems"
"EMS",1.04011801591739,0.0124497372441204,1.01695789590538,0.033374626810276,"wt.1","0","ems"
"SHAM",0.999256167261687,0.00557032958567762,1.02401959506755,0.055126925825302,"wt.1","0","sham"
"EMS",1.01243800617552,0.00309545184243018,1.05850124380937,0.027493710375521,"wt.1","0","ems"
"EMS",1.00556729282738,0.0047076113261071,1.05089004251919,0.0240141993186088,"wt.1","0","ems"
"EMS",1.00054193707422,0.0103254011335351,1.01371131461554,0.0302291570781049,"wt.1","0","ems"
"EMS",0.994577776469061,0.0103648454043018,0.968006429228813,0.0168251853384465,"wt.1","0","ems"
"EMS",0.982528559587698,0.0205104352345535,0.845120020980184,0.0325860361312489,"wt.1","0","ems"
"EMS",1.00660282328173,0.00246708936007555,1.05484341981111,0.0503703094613595,"wt.1","0","ems"
"EMS",1.00578135882893,0.00553478610989791,1.04849544967678,0.0417254832796084,"wt.1","0","ems"
"EMS",0.996638410462421,0.00574093908072088,0.983647350476855,0.0345220104549008,"wt.1","0","ems"
"EMS",0.960390598751715,0.00682982165370317,0.949690995212194,0.0462466886552127,"wt.1","0","ems"
"SHAM",1.00100240042755,0.00517097346287386,0.988194553964384,0.041379139497412,"wt.1","0","sham"
"EMS",0.987863607684064,0.00510830884937126,0.995228482487102,0.0493419089650328,"wt.1","0","ems"
"EMS",1.01038973357921,0.0170113044303207,0.996050755732479,0.0441475458204332,"wt.1","0","ems"
