STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ems.m76	13	A02	4	0.765065103047474	0.0836436955537561	0.541593971694873	0.124260332487077	0.72341501806539	0.234382663476	0.938579290983203	0.102613803917271	0.711854019015194	0.163323858292361	0.785459493246705	0.254484747319733	0.355810838656501	0.353398558187436	0.176288978079654	0.18077991562918	0.345406905055487	0.351447226363683
ems.m76	14	A02	4	0.735902287563166	0.0819425432133774	0.622821376114472	0.0368403922893119	0.849688878788795	0.0555413551089119	0.902802447193954	0.100526835957124	0.818616755146312	0.0484218486243007	0.922563368860669	0.0603049197882948	0.186250834917536	0.182159769404982	0.2777949669967	0.273157434552281	0.331686988732829	0.335427070998301
sham.wt	15	A02	4	1.00704638261237	0.0292151280658539	0.974324750730695	0.16632139498139	0.963820072073584	0.139999996099304	1.00704638261237	0.0292151280658539	0.974324750730695	0.16632139498139	0.963820072073584	0.139999996099304	1	1	1	1	1	1
ems.tata	16	A02	4	0.740740984375072	0.0290401706370001	0.706341435928305	0.187902231087857	0.947953353340327	0.218661902571121	0.749703525526248	0.0293915400493339	0.447984862614678	0.119173746430797	0.617759390994623	0.142496931194002	0.0205260443527592	0.0200072005348969	0.00282994597375868	0.00282994597375868	0.00789147926552507	0.00854832895617694
sham.wt	01	A03	4	0.993209433169206	0.0410940113346408	1.03132352603257	0.218520571283483	1.03259086459228	0.188103529054473	0.993209433169206	0.0410940113346408	1.03132352603257	0.218520571283483	1.03259086459228	0.188103529054473	1	1	1	1	1	1
sham.wt	02	A03	4	1.00156230994129	0.0211513457502842	1.0020909143856	0.181932351678414	0.999554582091762	0.177424275836734	1.00156230994129	0.0211513457502842	1.0020909143856	0.181932351678414	0.999554582091762	0.177424275836734	1	1	1	1	1	1
ems.m76	03	A03	4	0.735978410988761	0.0289826605068727	0.613957301803284	0.0739855450342813	0.835684586557136	0.11797876454407	0.902895835156019	0.0355558302698581	0.806966095698383	0.0972442647706478	0.907357983286874	0.128097341496276	0.0856628056628057	0.0840664711632454	0.281404194078947	0.281541394054917	0.371284062758051	0.36464116800329
sham.m76	04	A03	4	0.722658574626561	0.0417008514819157	0.577869566544321	0.090656984732251	0.80047207205087	0.13139664958621	0.886555104780201	0.0511584641116012	0.759533515714419	0.119156678815121	0.869125429207476	0.142666026030675	1	1	1	1	1	1
sham.tata	05	A03	4	1.01460342687099	0.0906111710328682	1.4958476782907	0.158626501529908	1.47528860184465	0.122814179806713	1.02687954653666	0.0917075142436089	0.948715568089034	0.100606120326963	0.96141164014604	0.0800351754182378	1	1	1	1	1	1
sham.tata	06	A03	4	0.96911041769341	0.117883401631895	1.55577671702089	0.329541258110996	1.60367488192594	0.293746482577303	0.980836098034886	0.119309723194297	0.986724526386781	0.209005854295805	1.04507802511699	0.191427824527798	1	1	1	1	1	1
ems.m76	07	A03	4	0.765367447755141	0.0527507832317262	0.787844866934104	0.107050721943864	1.03834502093578	0.203860360767789	0.938950206451995	0.064714483156042	1.03551842191385	0.140704089478216	1.12739981005722	0.221344666150247	0.279193315452857	0.274773848684211	0.284736869180513	0.281343360461523	0.288491206417772	0.289602053915276
sham.tata	08	A03	4	0.991981112598079	0.0905018933656381	1.5077424537048	0.305851691626735	1.51878167105216	0.279185353093808	1.00398351523326	0.0915969143792702	0.956259624063484	0.193981155691083	0.98975507271204	0.18193867144846	1	1	1	1	1	1
sham.wt	09	A03	4	0.993973909853174	0.0182079467204839	1.07234694389689	0.0321826588834655	1.07783665292809	0.013778338396523	0.993973909853174	0.0182079467204839	1.07234694389689	0.0321826588834655	1.07783665292809	0.013778338396523	1	1	1	1	1	1
sham.wt	10	A03	4	0.992688204042591	0.0218917731089741	1.06748062043216	0.0546646905918846	1.07468889605038	0.0541906098270345	0.992688204042591	0.0218917731089741	1.06748062043216	0.0546646905918846	1.07468889605038	0.0541906098270345	1	1	1	1	1	1
ems.m76	11	A03	4	0.767025782594547	0.0266556198570959	0.737362290288155	0.214236630061805	0.963711349780364	0.287505645151832	0.940984646046199	0.0327010246403023	0.969165716836283	0.281585863395998	1.04636510098849	0.312163879249343	0.240426189005559	0.231477196771042	0.429962894248609	0.430179369892584	0.405931417979611	0.40694865601069
sham.m76	12	A03	4	0.803756504151387	0.0294020757997392	0.613649871467221	0.111864215871707	0.763610069733204	0.14044399850028	0.986045771509637	0.036070367538175	0.806562018969816	0.147030793941556	0.829101917201985	0.152489330656389	1	1	1	1	1	1
sham.tata	14	A03	4	0.929170724486707	0.144853330973	1.40139041821189	0.395171500030375	1.48921677138195	0.195535801455709	0.940413157442818	0.146605973215182	0.888807681439634	0.250630702300059	0.970488307790824	0.127426183154769	1	1	1	1	1	1
ems.m76	15	A03	4	0.826580205660354	0.0588261129633907	0.642439618823011	0.181549127056	0.774728849101901	0.19279012958822	1.01404581162984	0.072167677203612	0.844402354041339	0.238622441344903	0.841174310766351	0.209324984563206	0.551488003295232	0.556473686928678	0.400010297600659	0.404086674558649	0.398186314921682	0.402528652926967
sham.tata	16	A03	4	0.971050695482129	0.059888149824583	1.54364717352201	0.297322866580648	1.58417914102941	0.26151921480099	0.982799852072242	0.0606127620960691	0.979031572807213	0.188571895633282	1.03237309930942	0.170426055564414	1	1	1	1	1	1
sham.wt	01	A04	4	1.00218999026352	0.032502552488586	1.07069978240968	0.112695660853773	1.06606287201239	0.0822535361494027	1.00218999026352	0.032502552488586	1.07069978240968	0.112695660853773	1.06606287201239	0.0822535361494027	1	1	1	1	1	1
ems.m76	02	A04	4	0.808989404836273	0.0594646308530514	1.39636694969966	0.390801872567535	1.71831341492307	0.422914639622436	0.992465476440683	0.0729510087995351	1.83534063729147	0.513657644222437	1.86568643229701	0.459186373283756	0.51300139024767	0.517241379310345	0.110888546481767	0.108681143795883	0.0931561872393017	0.0900951890918446
ems.tata	03	A04	4	0.961122614968396	0.112670756632324	1.38695984663234	0.170946539654675	1.44342680745524	0.110217267477863	0.972751647477307	0.114034008179291	0.879655340521083	0.108419891834615	0.940648041780531	0.0718260574682198	0.493510506798517	0.500694766095415	0.293875450334534	0.289991754277469	0.364969135802469	0.361424088079436
null	04	A04	4	-0.000224530832315062	0.00152502698566199	0.00142100173540941	0.00502028025179919	3.38787083149108	2.40472583244316	-0.000224530832315062	0.00152502698566199	0.00142100173540941	0.00502028025179919	3.38787083149108	2.40472583244316	1	1	1	1	1	1
ems.m76	05	A04	4	0.797296053661567	0.075904806526754	0.636596827977676	0.103511676857014	0.802620260640555	0.155113973164726	0.9781201126134	0.0931197609305625	0.836722774203142	0.136052480338871	0.871457859526058	0.168417491640236	0.517431381636542	0.505242598684211	0.336094674556213	0.338467879037659	0.388399979414338	0.391494619780672
ems.m76	07	A04	4	0.764122338071404	0.0712161331398207	1.42362425460897	0.328948943842493	1.89699866004074	0.574785865002046	0.937422710086649	0.0873677122151918	1.87116677838846	0.432360107318564	2.05969681164484	0.624082999351091	0.342807125939656	0.337599588794654	0.0961123110151188	0.0926078451559765	0.0643151390319258	0.0653517355031414
sham.m76	08	A04	4	0.789056092445938	0.0544559269216869	0.615536119401656	0.210591373097701	0.785136210311438	0.28351110464451	0.968011355953754	0.0668063476904101	0.80904124370857	0.276794652718151	0.852474270620017	0.30782674263442	1	1	1	1	1	1
sham.wt	09	A04	4	0.999809347616357	0.0515148374375074	1.05454183054944	0.12920170935082	1.05102639360332	0.0772400131046145	0.999809347616357	0.0515148374375074	1.05454183054944	0.12920170935082	1.05102639360332	0.0772400131046145	1	1	1	1	1	1
